year,month,date,hour,tweet,pos or neg,logistic regression
2020,10,05,10,Virginia Voters! Your Governor wants to obliterate your Second Amendment. I have stopped him. I am the only thing between you and your Second Amendment. Working hard in Virginia. It’s IN PLAY. Better Vote for your favorite President or wave goodbye to low taxes and gun rights!,0.0,[[0.47448867]]
2020,10,05,10,IF YOU WANT A MASSIVE TAX INCREASE THE BIGGEST IN THE HISTORY OF OUR COUNTRY (AND ONE THAT WILL SHUT OUR ECONOMY AND JOBS DOWN) VOTE DEMOCRAT!!!,0.0,[[0.4811984]]
2020,10,05,10,“I’m voting for Donald Trump. My father is a Union Worker and his 401K has tripled under President Trump.” USA Voter. @foxandfriends  Thank you and remember that the Stock Market is getting ready to break its all time high. NEXT YEAR WILL BE THE BEST EVER. VOTE VOTE VOTE!!!!!,1.0,[[0.63478841]]
2020,10,01,21,RT @KDORR_USA: Americans across the country have zero confidence in Biden’s ability to handle the economy.That’s why families like Janell…,1.0,[[0.51832471]]
2020,10,01,21,RT @GreggJarrett: NYT ‘Refused To Listen’ Says Trump Atty Over ‘Fake News’ Trump Tax Returns https://t.co/Egbdy9Hgo4,0.0,[[0.49864201]]
2020,10,01,2,In just 3 and a half years we have secured America’s Borders rebuilt the awesome power of the U.S. Military obliterated the ISIS caliphate fixed our disastrous Trade Deals and brought JOBS back home to America – and back to MINNESOTA! #MAGA https://t.co/nX2oU5IWL0,1.0,[[0.50526387]]
2020,10,01,2,As VP Biden wiped out the Iron Range – seven plants were idled and more than 2K workers were laid off. After I put Tariffs on foreign steel the Iron Range came roaring back to life! If Joe gets in the Radical Left will shut down the Iron Range FOREVER! https://t.co/2Gk2uOjaCW,0.0,[[0.4983975]]
2020,09,30,21,Just landed in Minnesota. Hasn’t been won by a Republican since 1972 and we saved Minneapolis. Also opened the massive and beautiful Iron Range which Obama and Sleepy Joe closed.  Thousands of jobs started back. They will close again. How can we lose?,1.0,[[0.51737298]]
2020,09,30,19,RT @GroverNorquist: Joe Biden will raise taxes on people making under $400000. You do not want to believe that?Watch Biden say it himself…,0.0,[[0.46592069]]
2020,09,30,14,Biden wants to Pack the Supreme Court thereby ruining it. Also he wants no fracking killing our Energy business and JOBS. Second Amendment is DEAD if Biden gets in! Is that what you want from a leader? He will destroy our Country! VOTE NOW USA.,0.0,[[0.43380994]]
2020,09,29,21,Just arrived in the Great State of Ohio. Real Polls have us leading by even more than 2016. With Biden being against Fracking (Energy &amp; Jobs) &amp; your Second Amendment we should be in very good shape!,1.0,[[0.60541876]]
2020,09,29,01,RT @GOPChairwoman: .@DonaldJTrumpJr is spot on.@realDonaldTrump has actually created jobs while Joe Biden has just talked about it for 5…,1.0,[[0.51460827]]
2020,09,29,01,RT @GOPLeader: Republicans will rebuild the greatest economy in history. We've done it once with President @realdonaldTrump—and we will do…,1.0,[[0.5165799]]
2020,09,28,14,.....Also if you look at the extraordinary assets owned by me which the Fake News hasn’t I am extremely under leveraged - I have very little debt compared to the value of assets. Much of this information is already on file but I have long said that I may release....,0.0,[[0.49309965]]
2020,09,28,14,.....Financial Statements from  the time I announced I was going to run for President  showing all properties assets and debts. It is a very IMPRESSIVE Statement and also shows that I am the only President on record to give up my yearly $400000 plus Presidential Salary!,0.0,[[0.4935702]]
2020,09,28,14,The Fake News Media just like Election time 2016 is bringing up my Taxes &amp; all sorts of other nonsense with illegally obtained information &amp; only bad intent. I paid many millions of dollars in taxes but was entitled like everyone else to depreciation &amp; tax credits.....,1.0,[[0.5069782]]
2020,09,27,02,RT @GOP: “I’ll keep your jobs in Pennsylvania where they belong!” -@realDonaldTrump,1.0,[[0.51288267]]
2020,09,27,01,In just 3 and a half years we have secured America’s Borders rebuilt the awesome power of the U.S. Military obliterated the ISIS caliphate fixed our disastrous Trade Deals and brought JOBS back home to America – and back to PENNSYLVANIA! #MAGA https://t.co/sWHvIjl2gQ,1.0,[[0.50526387]]
2020,09,25,21,BIG NEWS! The @Smithsonian American History Museum reopened today in our Nation’s Capital! Go visit @amhistorymuseum and learn about our GREAT Country’s history!,1.0,[[0.54105935]]
2020,09,25,11,RT @NRA: Biden will implement a $200 tax on semi-autos and magazines that can hold more than ten rounds. Calculate your Biden Gun Tax her…,1.0,[[0.50540671]]
2020,09,23,20,Congressman Greg Gianforte (@GregForMontana) will be a tremendous Governor of Montana! A successful Businessman he will Cut your Taxes Defend your #2A and protect Montana’s Beautiful Public Lands. Greg has my Complete and Total Endorsement! #MTGOV https://t.co/u5ELP1auuV,1.0,[[0.51001662]]
2020,09,23,20,Diana Harshbarger (@DHarshbargerTN1) will be a champion in Congress for the People of Tennessee! She is Strong on Immigration Jobs Life and the Second Amendment. Diana has my Complete and Total Endorsement! #TN01 https://t.co/1BPtlfr9DT,1.0,[[0.5119303]]
2020,09,23,20,Scott Fitzgerald (@FitzgeraldForWI) will be a tremendous Congressman for the State of Wisconsin! He is Strong on Jobs and Life wants to Lower Your Taxes and he will always Defend your Second Amendment. Scott has my Complete and Total Endorsement! #WI05 https://t.co/r5p9JdCKWS,0.0,[[0.48795152]]
2020,09,23,20,Barry Moore (@RepBarryMoore) will be a terrific Congressman for Alabama! An early supporter of our #MAGA agenda he is Strong on Jobs Life the Wall Law &amp; Order and the Second Amendment. Barry has my Complete and Total Endorsement! #AL02 https://t.co/hlrWU7Drr2,1.0,[[0.51465929]]
2020,09,23,20,We need Jerry Carl (@CarlForAlabama) in Congress for the People of Alabama! He Loves our Veterans Stands for Law &amp; Order and is Strong on Jobs and the Second Amendment. Jerry has my Complete and Total Endorsement! #AL01 https://t.co/kBg2DNuEpW,1.0,[[0.56893529]]
2020,09,23,14,RT @realDonaldTrump: White House News Conference today at 6:00 P.M. Economy Job gains and Vaccine development are all doing GREAT!,1.0,[[0.54375333]]
2020,09,23,13,White House News Conference today at 6:00 P.M. Economy Job gains and Vaccine development are all doing GREAT!,1.0,[[0.54375333]]
2020,09,23,12,RT @spectatorindex: JUST IN: Johnson &amp; Johnson starts testing coronavirus vaccine which requires only one dose on 60000 volunteers.,1.0,[[0.50359916]]
2020,09,23,01,With your VOTE we are going to lift our nation to extraordinary new heights – we are going to turn the page forever on the failed political class – and we are going to Defend our Jobs our Families our Borders and our treasured way of Life! https://t.co/WwzdPhlJcp https://t.co/kyNuebdLcT,1.0,[[0.50931044]]
2020,09,22,20,Governor @MikeParson is doing an incredible job for Missouri. He is Strong on Jobs Law and Order Life and the Second Amendment. Mike has my Complete and Total Endorsement! Vote for Mike!#MOGOV https://t.co/A0eWLCTFGx,1.0,[[0.52430602]]
2020,09,20,11,Winning Big. Next year if I’m re-elected will be our best  year ever! Sleepy Joe wants to quadruple your taxes and go to socialized healthcare. Depression! https://t.co/EN4pSt2Xzu,0.0,[[0.47202281]]
2020,09,20,01,RT @TrumpWarRoom: With 1.4 million jobs added in August President Trump’s GREAT AMERICAN COMEBACK is underway! https://t.co/CQMS8A3xT4,1.0,[[0.54718899]]
2020,09,18,22,Joe Biden delivered remarks to union members after spending 47 years giving their jobs to China and foreign countries in exchange for campaign cash...,1.0,[[0.51391338]]
2020,09,18,20,Jason Lewis (@LewisForMN) will be an incredible Senator for the State of Minnesota! He is a proven leader who will help us Lower your Taxes Protect our Communities and Defend your Second Amendment…,1.0,[[0.5349643]]
2020,09,18,20,Tyler Kistner (@KistnerCongress) will be an incredible Congressman for Minnesota. A Marine Special Forces Veteran he is Strong on National Security the Economy Law Enforcement &amp; our America First agenda. Tyler has my Complete &amp; Total Endorsement! #MN02 https://t.co/iE7HCpMueX,1.0,[[0.51074313]]
2020,09,18,20,Michelle @FischbachMN7 is running for Congress in Minnesota. Michelle will protect the unborn is Strong on Crime &amp; Borders Cutting Taxes your #2A Loves our Military Vets &amp; will stand w/ our Great Farmers. Michelle has my Complete &amp; Total Endorsement! https://t.co/6FH77P2VEB,1.0,[[0.59970844]]
2020,09,18,20,Bob Good (@GoodForCongress) will be a terrific Congressman for Virginia! He is strong on the Economy Law Enforcement Life and our brave Military &amp; Vets and he will always protect your Second Amendment. Bob has my Complete and Total Endorsement! #VA05 https://t.co/gA816mcXQx,1.0,[[0.54400803]]
2020,09,18,20,Nick Freitas (@NickForVA) will be an incredible Congressman for the people of Virginia. A Green Beret Combat Veteran he is Strong on the Military &amp; Vets the Economy Healthcare and the Second Amendment. Nick has my Complete and Total Endorsement! #VA07 https://t.co/ulDWv30802,1.0,[[0.50097832]]
2020,09,18,03,A vote for Republicans is a vote for safe communities great jobs and a limitless future for ALL Americans. Instead of letting Washington change us despite all that we have been through we are changing Washington! https://t.co/WwzdPhlJcp https://t.co/sgFzTc4rl0,1.0,[[0.58057109]]
2020,09,18,03,...dollar tax hike ban American Energy confiscate your guns shutdown the economy destroy the suburbs erase your borders and indoctrinate your children with poisonous anti-American lies. https://t.co/WwzdPhlJcp,0.0,[[0.49245998]]
2020,09,18,03,...to America – NOT CHINA. Because if we win AMERICA WINS. We built the greatest economy in the history of the world and now we are doing it again! https://t.co/WwzdPhlJcp,0.0,[[0.49672433]]
2020,09,18,03,If Biden Wins CHINA WINS. If Biden Wins the mob WINS. If Biden Wins the rioters anarchists arsonists and flag-burners WIN. I am running for re-election to bring jobs and factories back to Wisconsin to put violent criminals behind bars and to ensure the future belongs... https://t.co/T6uifBSCKg,0.0,[[0.48827649]]
2020,09,16,22,RT @GOPLeader: Republicans helped build the greatest economy in a generation and the American way of life was thriving. With @realDonaldTru…,1.0,[[0.5124307]]
2020,09,16,00,RT @LouDobbs: Ending the Division: @marcshort45 praises @realDonaldTrump for ensuring taxpayers' dollars are not funding critical race theo…,1.0,[[0.50016856]]
2020,09,15,02,RT @SenateGOP: Stronger trade deals. Killing terrorists. National security tools. Justice reform. Coronavirus relief. Democrats spent the…,1.0,[[0.50217397]]
2020,09,14,21,RT @MikeKellyforPA: #PA16 #Economy #JobGrowthhttps://t.co/UuaiIfTcfE,1.0,[[0.50029386]]
2020,09,14,14,Great Just Out! 51% Approval Rating in Rasmussen Poll. 95% in Republican Party. Stock Market up BIG today. Will I ever be given credit for the Markets and Economy? Next year will be BIG!,1.0,[[0.55088751]]
2020,09,12,22,RT @LindseyGrahamSC: This agreement sets the Middle East on a new course of cooperation and economic integration.Well done President @rea…,1.0,[[0.53505075]]
2020,09,11,20,Pelosi and Schumer want Trillions of Dollars of BAILOUT money for Blue States that are doing badly both economically and in terms of high crime as a condition to making a deal on stimulus - But the USA is coming back strong!,0.0,[[0.46043511]]
2020,09,11,14,"RT @WhiteHouse: The terrorists on Flight 93 had a fourth target in mind: our nation's capital.""The only thing that stood between the enem…",1.0,[[0.52443185]]
2020,09,11,2,A vote for Republicans is a vote for safe communities great jobs and a limitless future for ALL Americans. Instead of letting Washington change us despite all that we have been through we are changing Washington! #MAGA https://t.co/5dlHJaMMhP,1.0,[[0.58057109]]
2020,09,11,2,I have taken the toughest-ever action to stand up to China’s rampant theft of Michigan jobs. Sleepy Joe Biden has vowed to remove those Tariffs and allow China to resume its pillaging. Joe Biden’s Agenda is Made in China my agenda is Made in the USA! https://t.co/z8EuVOUYLE,1.0,[[0.51823189]]
2020,09,11,1,On November 3rd Michigan will decide whether we will quickly return to record prosperity—or whether we allow Sleepy Joe Biden to impose a $4 TRILLION DOLLAR TAX HIKE ban American Energy confiscate your guns shutdown the economy shutdown auto production delay...,0.0,[[0.49212785]]
2020,09,11,1,When we win I as your President will totally forgive ALL deferred payroll taxes with money from the General Fund. I will ALWAYS protect Seniors and your Social Security! Sleepy Joe Biden will do the opposite he will raise your taxes and DESTROY our Country!,1.0,[[0.50052606]]
2020,09,10,21,Mary Miller (@Miller_Congress) will be a terrific Congresswoman for Illinois! She is Strong on the Border Life Low Taxes and she will always protect and defend your Second Amendment. Mary has my Complete and Total Endorsement! #IL15 https://t.co/vE7KFCcMVI,1.0,[[0.50947771]]
2020,09,10,21,Congressman @RichHudson is working hard and creating jobs for the people of North Carolina! He strongly supports our Military Vets and the Second Amendment. Richard has my Complete and Total Endorsement! #NC08 https://t.co/Tu2djiYJRi,1.0,[[0.50316089]]
2020,09,10,21,Yvette Herrell (@Yvette4Congress) is a proven fighter for New Mexico! She strongly supports our Brave Law Enforcement Life and the Second Amendment. Strong on the Border and Trade Yvette has my Complete and Total Endorsement! #NM02 https://t.co/77hjYfVWAB,1.0,[[0.52931771]]
2020,09,10,21,Jim Bognet (@Bognet4congress) will be a tremendous advocate for Pennsylvania in Congress! He is Tough on Immigration and Crime and he is Strong on Jobs our Military Vets and the Second Amendment. Jim has my Complete and Total Endorsement! #PA08 https://t.co/C0RFGAv3fj,1.0,[[0.51064104]]
2020,09,10,21,.@LaurenBoebert is a tremendous fighter for the people of Colorado! A Rising Star Lauren is Strong on the Second Amendment Jobs Energy Healthcare and our incredible Military &amp; Vets. Lauren has my Complete and Total Endorsement! #CO03 https://t.co/GBgtJACiPc,1.0,[[0.51036002]]
2020,09,09,0,RT @TeamTrump: President @realDonaldTrump: Joe Biden wants to impose a $4 Trillion tax hike on Americans and destroy the Middle Class https…,0.0,[[0.47499775]]
2020,09,08,22,Police Chief and most of the police in Rochester N.Y. have resigned. The Democrat Mayor and of courses Governor Cuomo have no idea what to do. New York State is a mess - No Money High Taxes &amp; Crime Everyone Fleeing. November 3rd. We can fix it!,1.0,[[0.5282139]]
2020,09,08,12,The Democrats will open up their states on November 4th the day after the Election. These shutdowns are ridiculous and only being done to hurt the economy prior to the most important election perhaps in our history! #MAGA,1.0,[[0.52579779]]
2020,09,08,11,RT @realJeffreyLord: The economy created another 1.4 million jobs last month defying the pessimists. https://t.co/3VWNJW5iOP via @WSJ,1.0,[[0.5071294]]
2020,09,07,23,RT @TVNewsHQ: “Look at the Dow go!” Fox Business host reacts as 1.37 million jobs are created according to new figures out this morning wi…,1.0,[[0.54666536]]
2020,09,07,16,Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER unless a very Sleepy person becomes President and massively raises your taxes - In which case CRASH!,1.0,[[0.5115817]]
2020,09,07,16,RT @realDonaldTrump: 10.6 Million Jobs Created In Just 4 Months A Record!!!,1.0,[[0.51072656]]
2020,09,07,15,Biggest and Fastest Financial Recovery In History. Next year will be the best ever unless a Sleepy person who wants to massively raise your taxes gets in. I’m which case CRASH!!!,0.0,[[0.48304643]]
2020,09,07,14,10.6 Million Jobs Created In Just 4 Months A Record!!!,1.0,[[0.51072656]]
2020,09,07,13,Will be having a Labor Day News Conference today at the White House 1:00 P.M. Jobs number and the Economic comeback are looking GREAT. Happy Labor Day!,1.0,[[0.6454506]]
2020,09,06,20,Our Economy and Jobs are doing really well. Next Year will be a Record Setter. Stay Tuned!,1.0,[[0.51195427]]
2020,09,06,10,Steve Jobs would not be happy that his wife is wasting  money he left her on a failing Radical Left Magazine that is run by a con man (Goldberg) and spews FAKE NEWS &amp; HATE. Call her write her let her know how you feel!!! https://t.co/wwuoP85bQE,1.0,[[0.53226257]]
2020,09,06,10,Be smart Baltimore! You have been ripped off for years by the Democrats &amp; gotten nothing but poverty &amp; crime. It will only get worse UNLESS YOU ELECT KIMBERLY KLACIK TO CONGRESS. She brings with her the power &amp; ECONOMIC STRENGTH OF THE REPUBLICAN PARTY. She works sooo hard....,0.0,[[0.48662437]]
2020,09,06,10,....Baltimore will turn around and I will help. Crime will go way down money and jobs will pour in. Life will be MUCH better because Kimberly really cares. The Dems have had 100 years and they gave you nothing but heartache. Baltimore is the WORST IN NATION Kimberly will..,0.0,[[0.48162545]]
2020,09,05,19,RT @AP: Serbia and Kosovo announce that they have normalized economic ties as part of U.S.-brokered discussions that also include Serbia mo…,1.0,[[0.51124967]]
2020,09,05,16,RT @markknoller: Pres announces major breakthrough toward normalization of economic relations between Kosovo and Serbia. Calls it a first s…,1.0,[[0.51397146]]
2020,09,05,12,RT @stillgray: Trump is banning Critical Race Theory in the federal government. No more of this garbage especially not on taxpayer dollars.,1.0,[[0.50060423]]
2020,09,05,12,RT @RussVought45: The days of taxpayer funded indoctrination trainings that sow division and racism are over. Under the direction of @POTUS…,1.0,[[0.53086656]]
2020,09,05,4,RT @KellyannePolls: More #economicrecovery highlights:4th straight month of 1m + jobs added2nd largest drop ever in unemployment for wo…,1.0,[[0.51490311]]
2020,09,05,4,RT @JHoganGidley: Thanks to @realDonaldTrump's economic policies and leadership America added 1.4 million jobs last month! The United St…,1.0,[[0.63424183]]
2020,09,04,16,Another day everyone thought would be impossible! Congratulations to @predsednikrs Vucic of Serbia and PM @Avdullah Hoti of Kosovo on committing to #EconomicNormalization! This is a major step forward...,1.0,[[0.53622025]]
2020,09,04,13,Great Jobs Numbers! 1.37 Million Jobs Added In August. Unemployment Rate Falls To 8.4% (Wow much better than expected!). Broke the 10% level faster and deeper than thought possible.,1.0,[[0.55287003]]
2020,09,03,21,Hearing that Iran is looking to execute a great and popular wrestling star 27-year-old Navid Afkarai whose sole act was an anti-government demonstration on the streets. They were protesting the “country’s worsening economic situation and inflation”...,1.0,[[0.54503261]]
2020,09,03,15,Do you notice that any time Fake News Suppression Polls are put out like @FoxNews the Stock Market goes DOWN. We are going to WIN!,0.0,[[0.49069466]]
2020,09,02,16,When a Kennedy loses a Democrat Primary in Massachusetts by a lot it just shows how far LEFT that party has gone. Joe Hiden’ will never be able to hold them back. Life 2nd A Energy Religion Jobs and the Economy would be totally obliterated!,1.0,[[0.51946981]]
2020,09,02,9,See even a Kennedy isn’t safe in the new Radical Left Democrat Party. Taxes up big no 2A. Biden has completely lost control. Pelosi strongly backed the loser! https://t.co/DKYVBpbpP7,1.0,[[0.52679855]]
2020,09,01,3,Biden will also raise your taxes like never before. Sad! https://t.co/zgBJac6JmE,0.0,[[0.4851676]]
2020,08,31,02,....His problem is interesting. He must always be weak on CRIME because of the Bernie Sanders Radical Left voter. If he loses them like Crooked Hillary did he is “toast” and many will vote for me because of TRADE (Bernie was good on trade). Joe MUST always be weak on crime!,1.0,[[0.54193887]]
2020,08,30,11,"RT @PollWatch2020: 12. DI Poll:""Which candidate do you trust to do the best job handling the economy?Trump: 59%Biden 41%",1.0,[[0.53339012]]
2020,08,29,12,RT @GOP: “The experts tell us that the USMCA… could create up to 589000 new jobs across this country.” -@Mike_Pencehttps://t.co/ffwHPKoPd8,1.0,[[0.55070304]]
2020,08,26,15,Just In: Chinese State Media and Leaders of CHINA want Biden to win “the U.S. Election”.  If this happened (which it won’t) China would own our Country and our Record Setting Stock Markets would literally CRASH!,0.0,[[0.47905532]]
2020,08,25,15,...More JOBS from Eastport Cutler &amp; Jonesport to Stonington Friendship and Casco Bay. I am proud to help the great people of Maine!,1.0,[[0.5371924]]
2020,08,25,15,Beautiful Maine Lobsters will now move tariff-free to Europe! For first time in many years. GREAT new deal by USTR levels playing field with Canada. Millions of $’s more in EXPORTS...,1.0,[[0.56745293]]
2020,08,24,22,Joe Biden has said he would lock down the Country again. That’s crazy! We’re having record job growth and a booming stock market but Joe would end it all and close it all down. Ridiculous!,1.0,[[0.51608056]]
2020,08,20,21,RT @TeamTrump: President @realDonaldTrump in #Pennsylvania: Joe Biden has pledged to hike taxes on Americans by $4 trillion eviscerate the…,1.0,[[0.50487158]]
2020,08,20,04,RT @LindseyGrahamSC: The Obama Years:  ➡️ Pathetically weak foreign policy (ISIS Iran nuclear deal).➡️ Slow-growth weak economy.➡️ A…,1.0,[[0.5046926]]
2020,08,20,01,“I live in New York. Even the most Liberal friends that I have are thinking twice about voting Democrat this time because they’ve seen what’s happened to the City under @NYCMayor de Blasio and the State under @NYGovCuomo - They’re getting eaten up by taxes.” @DavidAsmanfox,1.0,[[0.50461216]]
2020,08,19,05,RT @Patrici15767099: Why Are These Democrats Talking About The Economy When They Know The Corona Virus Shut Down Caused The High Unemployme…,1.0,[[0.51280587]]
2020,08,18,22,.@Amazon and others in that business should be charged (by the U.S. Postal System) much more per package and the Post Office would be immediately brought back to “good health” now vibrant with ALL jobs saved. No pass on to customers. Get it done!,1.0,[[0.54781651]]
2020,08,18,11,....My Administration and I built the greatest economy in history of any country turned it off saved millions of lives and now am building an even greater economy than it was before. Jobs are flowing NASDAQ is already at a record high the rest to follow. Sit back &amp; watch!,1.0,[[0.519002]]
2020,08,18,03,RT @DavidBahnsen: PREVIEW TODAY'S #COVID19 &amp; #Markets MISSIVE: Arizona has beaten COVID &amp; is back to pre-summer levels. Where is the media…,1.0,[[0.50349833]]
2020,08,18,03,RT @LindseyGrahamSC: I remember a slow-growth economy a weakened military ISIS raging Iran emboldened China eating our lunch businesse…,0.0,[[0.49968445]]
2020,08,17,16,The U.S. Post Office (System) has been failing for many decades. We simply want to MAKE THE POST OFFICE GREAT AGAIN while at the same time saving billions of dollars a year for American Taxpayers. Dems don’t have a clue! @USPostOffice911,1.0,[[0.51045196]]
2020,08,17,01,RT @WhiteHouse: President @realDonaldTrump has mobilized his Administration to address barriers to women's full economic empowerment around…,1.0,[[0.5104329]]
2020,08,15,20,RT @MarkBednar: .@GOPLeader: Look at what San Francisco is known for today:• Sky-high taxes• Sanctuary city• Sidewalks people do not ev…,1.0,[[0.52372457]]
2020,08,15,11,RT @LizRNC: Everyone wins in a Trump-Pence economic BOOM (except swamp Democrats of course)The V-Shaped recovery is only possible becaus…,1.0,[[0.51328095]]
2020,08,14,20,Just landed in New York to see my brother Robert. We’re going for New York on November 3rd. We’re going to Reduce Taxes Increase Law Enforcement and bring it back BIG TIME! #MAGA https://t.co/VIxo7yWyQs,1.0,[[0.53459662]]
2020,08,14,16,I am ready to send more money to States and Local governments to save jobs for Police Fire Fighters First Responders and Teachers. DEMOCRATS ARE HOLDING THIS UP!,1.0,[[0.51602478]]
2020,08,14,11,RT @GOPChairwoman: Biden and Harris want to raise your taxes eliminate your health plan and send your utility bills through the roof. T…,0.0,[[0.48184404]]
2020,08,14,11,RT @Mike_Pence: We’ve created more jobs in the last 3 months than Joe Biden and Barack Obama created in their 8 years in office. https://t.…,1.0,[[0.5078137]]
2020,08,14,11,RT @GOPChairwoman: A Biden-Harris fracking ban would kill MILLIONS of jobs &amp; send energy prices through the roof.Who would benefit? Adv…,1.0,[[0.52742057]]
2020,08,14,11,RT @jepence: President Trump promised to bring manufacturing jobs back to places like Erie Pennsylvania—and he kept that promise by passin…,1.0,[[0.52376897]]
2020,08,14,04,RT @RudyGiuliani: 82% of Americans would see their taxes go up under the Joe Biden tax plan!,1.0,[[0.51538235]]
2020,08,13,14,RT @TeamTrump: President @realDonaldTrump on Joe Biden and Kamala Harris wanting to raise taxes on Americans by $4 TRILLION https://t.co/4G…,0.0,[[0.47108783]]
2020,08,12,18,Congrats to Pennsylvania for receiving $11.5M in federal infrastructure funds from @USDOT. Huge investments in Hazleton and Erie County to improve transit service and bring an economic boost to these areas!,1.0,[[0.51022739]]
2020,08,11,12,Big Stock Market Numbers!,1.0,[[0.50677197]]
2020,08,10,17,Jason Lewis (@LewisForMN) will be an incredible Senator for the State of Minnesota! He is a proven leader who will help us Lower your Taxes Protect our Communities and Defend your Second Amendment…,1.0,[[0.5349643]]
2020,08,10,17,My friend Congressman @TomEmmer is doing a tremendous job for the people of Minnesota! He strongly supports our brave Law Enforcement &amp; National Guard fights for our Vets and works hard to Cut your Taxes! Tom has my Complete and Total Endorsement! #MN06 https://t.co/fPIsaonBXO,1.0,[[0.50308798]]
2020,08,10,17,CONGRATS to General Dynamic’s Bath Iron Works &amp; Local S6 on reaching a tentative agreement after the long strike. GD builds GREAT Arleigh-Burke destroyers. Super boost for Maine Economy. Glad to have helped. I’ve done a lot for Maine! https://t.co/6bXwvtje5P,1.0,[[0.58407521]]
2020,08,09,2,RT @hale_razor: Just think of it as DACA for Americans needing relief from unemployment and payroll taxes.,0.0,[[0.49300687]]
2020,08,09,1,RT @realDonaldTrump: Sleepy Joe Biden just agreed with the Radical Left Democrats to raise Taxes by Three Trillion Dollars. Everyone will p…,1.0,[[0.5132286]]
2020,08,08,21,RT @WhiteHouse: President @realDonaldTrump's first executive order today provides a payroll tax holiday to Americans earning less than $100…,1.0,[[0.51475872]]
2020,08,08,19,Sleepy Joe Biden just agreed with the Radical Left Democrats to raise Taxes by Three Trillion Dollars. Everyone will pay - Will kill your Stocks 401k’s and the ECONOMY. BIG CRASH!  #MAGA,1.0,[[0.50787002]]
2020,08,08,0,RT @WhiteHouse: President @realDonaldTrump gives an update on payroll tax enhanced unemployment benefits student loan payments and the e…,1.0,[[0.51177849]]
2020,08,08,0,"RT @WhiteHouse: ""We added 1.8 million new jobs in July—exceeding predictions for the third month in a row."" https://t.co/7XfyI4PhEc",1.0,[[0.55908274]]
2020,08,07,22,I will be doing a news conference on the ChinaVirus the just announced very good economic numbers and the improving economy at 7pm from Bedminster New Jersey. Also the subject of the Beirut Lebanon catastrophe will be discussed.,1.0,[[0.56381979]]
2020,08,07,13,Great Jobs Numbers!,1.0,[[0.5452033]]
2020,08,06,20,RT @WhiteHouse: For too many years Washington stood idly by as other countries drove American workers out of their jobs.Not under Presid…,1.0,[[0.51291713]]
